Ticker,Name,Years Past
CASY,caseys-general-stores,9
CMG,chipotle-mexican-grill,9
CNI,canadian-national-railway,9
COST,costco,9
CSX,csx,9
DIS,disney,9
FHI,federated-hermes,9
GOOG,alphabet,9
GXO,gxo-logistics,3
HAS,hasbro,9
IBKR,interactive-brokers,9
KDP,keurig-dr-pepper,9
KMI,kinder-morgan,9
KO,cocacola,9
LUV,southwest-airlines,9
MA,mastercard,9
MCD,mcdonalds,9
MDLZ,mondelez,9
META,meta-platforms,9
MKC,mccormick,9
MSFT,microsoft,9
NFLX,netflix,9
NKE,nike,9
NVDA,nvidia,9
PG,procter-gamble,9
ROL,rollins,9
SBUX,starbucks,9
SHW,sherwin-williams,9
TTWO,take-two-interactive-software,9
TXRH,texas-roadhouse,9
UA,under-armour,9
UNH,unitedhealth-group,9
V,visa,9
WFC,wells-fargo,9
WSM,williams-sonoma,9
WSO,watsco,9